haut_tot,haut_tronc,tronc_diam,age_estim,ratio_h_d,nb_voisins_20m,nb_voisins_50m,nb_voisins_100m,dist_plus_proche,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,remarquable,clc_quartier,y
20.0,8.0,165.0,80.0,12.121212121212121,16,56,190,5.588283537683934,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
20.0,7.0,150.0,80.0,13.333333333333334,13,54,180,5.2785672679500735,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,8.0,145.0,80.0,13.10344827586207,15,55,168,5.4779900563384105,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,6.0,145.0,80.0,13.10344827586207,17,56,165,6.2054516747837924,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,6.0,115.0,80.0,16.521739130434785,19,55,173,5.4779900563384105,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
20.0,8.0,165.0,80.0,12.121212121212121,17,55,181,6.916528222659121,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
20.0,8.0,170.0,80.0,11.764705882352942,17,59,197,5.588283537683934,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,8.0,165.0,80.0,11.515151515151516,14,59,198,5.726608878318895,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
20.0,8.0,190.0,80.0,10.526315789473685,19,53,189,7.106685824274253,senescent,semi libre,gazon,groupe,non,oui,quartier remicourt,0
15.0,5.0,180.0,80.0,8.333333333333334,10,53,188,5.474612052690231,adulte,t^ete de chat relach'e,revetement non permeable,alignement,,non,quartier remicourt,0
15.0,5.0,208.0,80.0,7.211538461538462,10,53,185,5.474612052690231,adulte,t^ete de chat relach'e,bande de terre,alignement,non,non,quartier remicourt,0
15.0,4.0,142.0,80.0,10.563380281690142,11,40,169,6.764085422382456,adulte,t^ete de chat relach'e,revetement non permeable,alignement,,non,quartier remicourt,0
15.0,5.0,195.0,80.0,7.6923076923076925,10,37,168,6.764085422382456,adulte,t^ete de chat relach'e,revetement non permeable,alignement,,non,quartier remicourt,0
15.0,5.0,136.0,80.0,11.029411764705882,10,32,165,6.611670413403809,adulte,t^ete de chat relach'e,revetement non permeable,alignement,,non,quartier remicourt,0
15.0,5.0,148.0,80.0,10.135135135135135,10,32,165,6.611670413403809,adulte,t^ete de chat relach'e,revetement non permeable,alignement,,non,quartier remicourt,0
15.0,5.0,160.0,80.0,9.375,11,36,158,7.772149516074339,adulte,t^ete de chat relach'e,revetement non permeable,alignement,,non,quartier remicourt,0
